id,title,description,category,timeframe,prefered_buddy_location,prefered_buddy_age_start,prefered_buddy_age_end,user_id
11,Cancel all subscriptions,"I have subscriptions for magazines, gyms and all kinds of streaming platforms. As this lazyness is getting pretty expensive, I urgently need to go through all contracts and cancel them asap.",2,0,1,35,75,11
12,Create wine list for friends,"I have a quite big friends group and they all love wine. As I have been to nearly every wine bar in Berlin, I would love to structure my recommendations in an Excel list. I need someone to remind me to take the time and write down everything. Of course you will get access to this list. ",1,3,0,50,60,12
13,Take oil painting class,I am convinced that painting can be very relaxing. I would therefore love to take an oil painting class. Maybe you want to join me? It's more fun together and also a good way to ensure I am getting this project done.,0,4,0,40,45,13
14,Uni assignments,"There are 3 uni assignments waiting for me and as I am the type of person who needs a lot of pressure to start, I waited until now. I really need to start working now and I need someone to push me.",0,4,1,18,28,14
15,Understanding german bureaucracy,"BureauCRACY is driving me CRAZY. Everyone warned me, I ignored it and now I am lost. Is there someone out there who knows what to do, how to get appointments and what to bring to them?",2,1,1,18,99,15
16,Replying all WhatsApp chats,"Honestly, the digitalisation of communication has been one of the biggest mistakes in human history. I have 11 unopened chats and 3 memos I haven't listened to yet. I do not want to click on a single one of them because as soon as I reply, they reply within seconds. And it all starts again. HELP ME. Pls help me to get into the habit of replying before I will loose all my friends. (Not family, they stay for forever. Yay.)",3,2,1,18,35,16
17,Sell old laptops,"I am the type of guy who is collecting everything that looks or smells like tech. As I am still living with my parents, I am forced to sell some of my laptops. But I do not want to start because I am such a lazy guy. We are talking about 9 laptops in total. You can have one if you help me or you can have all of them.",5,0,1,25,40,17
18,Creating Instagram brand for newton's cradles,"Hi there! I want to make some money with my newton's cradle collection. I thought about building a Instagram page and brand, I need to take pictures and become a real influencer with the ultimate goal of making physics cool again. But it's sooooo much work. Anyone willing to help me?",0,2,1,18,25,18
19,Brainstorming of fantasy animals,"Grolar Bear, Liger, Leopon, Grifaun. If you have fun thinking about the weirdest animal combinations, you are my perfect buddy! I want to start writing another book for young children and the first step is to brainstorm about the animals. I will sponsor drinks and snacks!",0,0,0,25,99,19
20,Breeding chickens,"I already have 5 chickens in my beautiful garden and I would love to have more chickens. If you have something that you would like to learn more about and take the time to study, we can block some time in the evenings to study together. Either virtually or, if you live close by, in my garden.",0,3,0,60,80,20
21,Rap video,"I need a big bouncy car, a huge dog and golden accessoires. It would be fantastic if we could work together on finding these things (for free, if possible. I am not Eminem yet.)",0,2,1,20,30,21
22,Applying for jobs to finance Australia,"My biggest dream since I am 16 is to travel to Australia and explore life there. Unfortunately, I am broke and need a job, if possible, even two. I also need advice on how to apply for a job as I have never applied or had a job before. Excited to get started!",4,1,1,20,40,22
23,Iron entire closet,"First of all: I don't know which duration to choose as I am having a lot of clothes. But I feel like my life would change for the better, if I would get at least this task done. I imagine our buddy-relationship as follows: If you are in the same city, we can iron together. If now, we can have a Zoom meeting and watch a telenovela while ironing. Are you up for that?",5,0,1,35,60,23
24,Wall painting,"As I am a game designer, I need to be ""completely in the game"". My current project is designing an agriculture game and therefore, I want to paint my walls with cows, grass, farm houses....Would be awesome to do that together (even better, if you can actually draw).",5,2,0,18,75,24
25,Learn arabic,"Arabic is such a beautiful language, but I do not understand a single word and I also can't read it. I'd love to try this buddy system and see, if I can get started on learning this beautiful language.",0,4,1,18,99,25
26,Business plan for a bar with MUSIC PONG,"So I stated in the ""about me"" section that I am cultivated when it comes to imported beer and travelling. What do you think about opening a bar for travellers where they play MUSIC PONG??? Honestly, I think this is the best idea I have had in years. But I don't know how to get started and also whenever I am thinking about starting, I am getting very, very tired.",4,2,0,21,99,26
27,Learn piano to be unstoppable,"I want to be unstoppable when it comes to my profession: being an artist. While I am a pretty good singer, I am not yet my own ensemble. Which is why I thought, learning how to play piano might be a great start of being unstoppable. Interested?",0,4,1,30,99,27
28,Pimp up LinkedIn,"My younger colleagues all have LinkedIn and are networking a lot by using this platform. I do have a profile, but I am not an expert. I would like to take some time to step up the game. I am searching for someone to help me actually take the time as well as someone who can support me in writing a personal brand statement and choosing the right emojis for my profile slogan.",4,0,1,25,40,28
29,Neighborhood BBQ,"Every year, the neighborhood organizes a BBQ night. My wife signed up for the orga team and now I am the one who has to take the lead because ""I am the bartender"". But I also do not like to do anything related with work in my free time.",3,0,1,30,55,29
30,Finish CS50 course,"Hello. I started the famous CS50 two years ago and I want to finish it before I turn 80. I would like to restart and get the certificate. If you would like to take the time and work on it with me, I would be very happy to receive your message.",0,0,1,18,99,30
